Number,SAS NAME,Utilization Flag,UB04 Code,PRCCS,ICD-10-PCS,ICD-10-PCS Label
1,U_BLOOD,Blood,,222,,
19,U_NUCMED,Nuclear Medicine,,,'CP271ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Spine and Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP27YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Spine and Pelvis using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP281ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP28YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Upper Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP291ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP29YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Upper Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2B1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Upper Extremities using Technetium 99m (Tc- "
19,U_NUCMED,Nuclear Medicine,,,'CP2BYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Upper Extremities using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2C1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP2CYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Right Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2D1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP2DYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Left Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2F1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Lower Extremities using Technetium 99m (Tc- "
19,U_NUCMED,Nuclear Medicine,,,'CP2FYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Bilateral Lower Extremities using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2G1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thoracic Spine using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP2GYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thoracic Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2H1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lumbar Spine using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP2HYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lumbar Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2J1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thoracolumbar Spine using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CP2JYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Thoracolumbar Spine using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CP2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Musculoskeletal System, Other using Other Radionuclid "
19,U_NUCMED,Nuclear Medicine,,,'CP55ZZZ',"Nonimaging Nuclear Medicine Probe of Spine "
19,U_NUCMED,Nuclear Medicine,,,'CP5NZZZ',"Nonimaging Nuclear Medicine Probe of Upper Extremities "
19,U_NUCMED,Nuclear Medicine,,,'CP5PZZZ',"Nonimaging Nuclear Medicine Probe of Lower Extremities "
19,U_NUCMED,Nuclear Medicine,,,'CP5YYZZ',"Nonimaging Nuclear Medicine Probe of Musculoskeletal System, Other using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT131ZZ',"Planar Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CT13FZZ',"Planar Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CT13GZZ',"Planar Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CT13YZZ',"Planar Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT1H1ZZ',"Planar Nuclear Medicine Imaging of Bladder and Ureters using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CT1HYZZ',"Planar Nuclear Medicine Imaging of Bladder and Ureters using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT1YYZZ',"Planar Nuclear Medicine Imaging of Urinary System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT231ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Technetium 99m (Tc "
19,U_NUCMED,Nuclear Medicine,,,'CT23YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Kidneys, Ureters and Bladder using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT2YYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Urinary System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT631ZZ',"Nonimaging Nuclear Medicine Assay of Kidneys, Ureters and Bladder using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CT63FZZ',"Nonimaging Nuclear Medicine Assay of Kidneys, Ureters and Bladder using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CT63GZZ',"Nonimaging Nuclear Medicine Assay of Kidneys, Ureters and Bladder using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CT63HZZ',"Nonimaging Nuclear Medicine Assay of Kidneys, Ureters and Bladder using Iodine 125 (I-125) "
19,U_NUCMED,Nuclear Medicine,,,'CT63YZZ',"Nonimaging Nuclear Medicine Assay of Kidneys, Ureters and Bladder using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CT6YYZZ',"Nonimaging Nuclear Medicine Assay of Urinary System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CV191ZZ',"Planar Nuclear Medicine Imaging of Bilateral Testicles using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CV19YZZ',"Planar Nuclear Medicine Imaging of Bilateral Testicles using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CV1YYZZ',"Planar Nuclear Medicine Imaging of Male Reproductive System using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW101ZZ',"Planar Nuclear Medicine Imaging of Abdomen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW10DZZ',"Planar Nuclear Medicine Imaging of Abdomen using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW10FZZ',"Planar Nuclear Medicine Imaging of Abdomen using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW10GZZ',"Planar Nuclear Medicine Imaging of Abdomen using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW10LZZ',"Planar Nuclear Medicine Imaging of Abdomen using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW10SZZ',"Planar Nuclear Medicine Imaging of Abdomen using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW10YZZ',"Planar Nuclear Medicine Imaging of Abdomen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW111ZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW11DZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW11FZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW11GZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW11LZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW11SZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW11YZZ',"Planar Nuclear Medicine Imaging of Abdomen and Pelvis using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW131ZZ',"Planar Nuclear Medicine Imaging of Chest using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW13DZZ',"Planar Nuclear Medicine Imaging of Chest using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW13FZZ',"Planar Nuclear Medicine Imaging of Chest using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW13GZZ',"Planar Nuclear Medicine Imaging of Chest using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW13KZZ',"Planar Nuclear Medicine Imaging of Chest using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW13LZZ',"Planar Nuclear Medicine Imaging of Chest using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW13SZZ',"Planar Nuclear Medicine Imaging of Chest using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW13YZZ',"Planar Nuclear Medicine Imaging of Chest using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW141ZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW14DZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW14FZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW14GZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW14LZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW14SZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW14YZZ',"Planar Nuclear Medicine Imaging of Chest and Abdomen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW161ZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW16DZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW16FZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW16GZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW16LZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW16SZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW16YZZ',"Planar Nuclear Medicine Imaging of Chest and Neck using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1B1ZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BDZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BFZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BGZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BLZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BSZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW1BYZZ',"Planar Nuclear Medicine Imaging of Head and Neck using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1D1ZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DDZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DFZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DGZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DLZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DSZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW1DYZZ',"Planar Nuclear Medicine Imaging of Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1J1ZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JDZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JFZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JGZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JLZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JSZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW1JYZZ',"Planar Nuclear Medicine Imaging of Pelvic Region using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1M1ZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MDZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MFZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MGZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MLZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MSZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW1MYZZ',"Planar Nuclear Medicine Imaging of Upper Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1N1ZZ',"Planar Nuclear Medicine Imaging of Whole Body using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NDZZ',"Planar Nuclear Medicine Imaging of Whole Body using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NFZZ',"Planar Nuclear Medicine Imaging of Whole Body using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NGZZ',"Planar Nuclear Medicine Imaging of Whole Body using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NLZZ',"Planar Nuclear Medicine Imaging of Whole Body using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NSZZ',"Planar Nuclear Medicine Imaging of Whole Body using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW1NYZZ',"Planar Nuclear Medicine Imaging of Whole Body using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1YYZZ',"Planar Nuclear Medicine Imaging of Multiple Anatomical Regions using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW1ZZZZ',"Planar Nuclear Medicine Imaging of Other Anatomical Region "
19,U_NUCMED,Nuclear Medicine,,,'CW201ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW20DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW20FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW20GZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW20KZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW20LZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW20SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW20YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW211ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW21DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW21FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW21GZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW21KZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW21LZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW21SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW21YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW231ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW23DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW23FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW23GZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW23KZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW23LZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW23SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW23YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW241ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW24DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW24FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW24GZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW24KZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW24LZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW24SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW24YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Abdomen using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW261ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW26DZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW26FZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW26GZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW26KZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW26LZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW26SZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW26YZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW2B1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BDZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BFZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BGZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BKZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BLZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BSZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW2BYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW2D1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DDZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DFZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DGZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DKZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DLZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DSZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW2DYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Lower Extremity using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW2J1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JDZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Indium 111 (In-111) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JFZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Iodine 123 (I-123) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JGZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Iodine 131 (I-131) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JKZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Fluorine 18 (F-18) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JLZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Gallium 67 (Ga-67) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JSZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Thallium 201 (Tl-201) "
19,U_NUCMED,Nuclear Medicine,,,'CW2JYZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Other Radionuclide "
19,U_NUCMED,Nuclear Medicine,,,'CW2M1ZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Upper Extremity using Technetium 99m (Tc-99m) "
19,U_NUCMED,Nuclear Medicine,,,'CW2MDZZ',"Tomographic (Tomo) Nuclear Medicine Imaging of Upper Extremity using Indium 111 (In-111) "
